,,Taxonomy,,,Agreement,,,
is soft,136,tactile,tactile,tactile,TRUE,TRUE,TRUE,"blanket, bun, cheese, cookie, crumb, cushion, eraser, feather, foam, fudge, marshmallow, mattress, pillow, slipper, snack, sponge, stem, toast, toilet_paper, tortilla, crystal1, bathmat, beanbag, brownie, candy, cream_cheese, gingerbread_man, lollipop, mashed_potato, muffin, pretzel, roll, teddy_bear, wood, boa, banana, beard, bed, duster, fur_coat, ice_cream, jellyfish, paper_towel, rug, snow, stuffing, trumpet, turf, waffle, washcloth, whistle, biscuit, butter, gumdrop, licorice, pastry, petal, rabbit, rag, salad, scrambled_egg, snowball, toy, towel, wafer, yarn, mat, swab, breadstick, caramel, clay, donut, dumpling, earplug, fig, sheet, bread, grass, handkerchief, lamb, sweater, diaper, dough, pita, taco, plum, pom-pom, pudding, quilt, yolk, brush, moccasin, bathrobe, chinchilla, french_fries, horn, pancake, cocoon, muff, string_cheese, candy_cane, peppermint, wax, papaya, cereal, moss, pickle, nightshirt, bologna, cake, contact_lens, kneepad, peach, whipped_cream, eggplant, kitten, mango, pacifier, potholder, tube_top, clover, pajamas, suitcase, applesauce, organ, noisemaker, avocado, beanie, hot-water_bottle, bagel, cat, duckling, shawl, caterpillar, napkin, whoopee_cushion"
is flat,128,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"backdrop, bookmark, chalkboard, cloud, cookie_sheet, counter, gasket, ironing_board, notebook, pancake, pita, place_mat, spatula, tortilla, touchpad, tray, whiteboard, windowsill, board, card, plate, bulletin_board, crowbar, cutting_board, desk, doormat, frisbee, hotplate, leaf, paper, saucer, tab, beer, diskette, lid, nose, palette, paper_plate, rearview_mirror, whoopee_cushion, screen1, cardboard, clipboard, coaster, computer_screen, hanger, lens, mirror, mousepad, paddle, pillow, ping-pong_table, pizza, poster, ribbon, sandal, sequin, sheet, shelf, mat, chessboard, crepe, diving_board, paperclip, puck, workbench, file1, tile, coin, corkboard, cracker, gravestone, home_plate, insole, nail_file, pallet, patty, raft, record, red_carpet, ruler, shoelace, skateboard, snowboard, tostada, wall, chest1, wing, cookie, tooth, poker, skewer, gong, scone, turf, screen2, flip_flop, brush, razor_blade, cushion, solar_panel, wafer, balance_beam, christmas_card, petal, playing_card, button1, filter, cymbal, pedal, washboard, cookie_cutter, dustpan, flyswatter, folder, tablet, waffle, moccasin, punch1, comb, iceskate, pan, sled, banner, gurney, snowshoe, surfboard, paintbrush"
is stationary,125,visual-motion,visual-motion,visual-motion,TRUE,TRUE,TRUE,"calculator, cd_player, doghouse, generator, goalpost, grill, lamppost, laptop, penholder, projector, radio, speaker, statue, stereo, tape_recorder, timer, camera1, charger, breathalyzer, footrest, paperweight, stapler, toolbox, water_filter, anvil, blower, boulder, clothesline, folder, grinder, tool, bedpost, bench, bookshelf, cement_mixer, desk, doorstop, fire_hydrant, flagpole, incubator, payphone, record_player, scaffolding, bin, cage, footbath, pole, scale, backdrop, binder, defibrillator, shredder, sprinkler, table, vending_machine, tank2, hydrant, lamp, lectern, pencil_sharpener, pump, sundial, keyboard, file2, screen1, bassinet, coop, metal_detector, notepad, plant, scarecrow, treadmill, water_cooler, camera2, reel, trunk, amplifier, awning, camcorder, lantern, notebook, noisemaker, gate, nightstand, springboard, stalagmite, target, turntable, wall, chair, computer, couch, water_fountain, mannequin, rocking_horse, stump, hammock, scaffold, seismograph, sewing_machine, air_pump, eraser, bed, mixer, fan, telephone_pole, rack1, ashtray, telescope, gauge, bell, ballot_box, ping-pong_table, filing_cabinet, pulpit, bank, crib, trough, workbench, wine_cooler, counter, drill, exerciser, heater, accordion"
is used in cooking,122,function,function,function,TRUE,TRUE,TRUE,"bell_pepper, cashew, cilantro, clove, coconut, eggplant, garlic, pecan, saffron, walnut, yolk, pepper1, almond, basil, butter, carrot, chickpea, chive, cinnamon, corn, cornmeal, cranberry, egg, fig, flower, funnel, ginger, lavender, measuring_cup, mint, mushroom, okra, onion, orange, parsley, pineapple, pistachio, pomegranate, scallion, sifter, soy_sauce, squid, strainer, sweet_potato, tomato, tomato_sauce, whisk, yoke, blueberry, cheese, jalapeno, leek, lime, macadamia, mustard, peanut, pepper_mill, plum, prune, rhubarb, thermometer, blender, honey, lemon, milk, oil, poppy, saltshaker, waffle_iron, pepper2, honeypot, apron, meat_grinder, powder, syrup, food_processor, sauce, nutcracker, artichoke, cream_cheese, eggbeater, grater, mango, nut, peeler, potholder, scoop, batter, pumpkin, banana, sunflower, cleaver, ketchup, ladle, orange_rind, rolling_pin, celery, olive, spatula, raspberry, hotplate, grinder, shaker, squash, asparagus, avocado, jam, pea, pitcher, timer, zucchini, stuffing, tongs, broccoli, green_beans, seaweed, sugar_cube, peppermint, flour, maple_syrup, eggshell, honeycomb"
comes in sizes,119,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"brooch, candlestick, cushion, earring, gum, kite, lid, magnifier, pom-pom, table, toy, tray, wafer, button1, shell2, patch, clothespin, filter, footrest, hairbrush, lampshade, marshmallow, pearl, raincoat, sandbox, snowboard, surfboard, trophy, whistle, wineglass, crystal2, handlebar, lifesaver, tag, basket, box, chinaware, cracker, hairnet, mirror, ottoman, scraper, glass, noisemaker, buckle, goggles, handle, licorice, medal, pincushion, place_mat, awning, balloon, ear, figurine, float, ice_pack, nail_file, pretzel, turban, vest, cake, headband, container, dish, napkin_ring, teacup, stool, clock, paperweight, sticker, wine_bottle, file1, grate, biscuit, block, candy, eraser, palette, pastry, sewing_kit, spaghetti, peg, blinder, sequin, snack, wrap, gourd, sponge, chain, pasta, pill, shield, teddy_bear, toast, vase, bead, urn, sword, mold1, straw2, hat, plastic_film, hatbox, shaker, beanbag, bow1, cup, bread, jar, oar, teabag, thumbtack, bow3, pipe1, cigarette_holder, flask, jewelry, knob"
is an animal,112,taxonomic,taxonomic,taxonomic,TRUE,TRUE,TRUE,"anteater, barnacle, boar, cheetah, coral, deer, gazelle, goat, hedgehog, jellyfish, monkey, panther, pig, pony, porcupine, reindeer, sea_urchin, seahorse, shark, sheep, starfish, stingray, tiger, walrus, warthog, calf1, ferret, racehorse, teddy_bear, beaver, bird, bull, chipmunk, gargoyle, gorilla, guinea_pig, hamster, hippopotamus, hyena, leopard, lion, llama, octopus, orangutan, platypus, raccoon, rhinoceros, skunk, snake, worm, alligator, bison, crayfish, dog, donkey, horse, lobster, seal, shrimp, sponge, coyote, squirrel, chicken1, meerkat, alpaca, chihuahua, poodle, yak, bear, cat, cow, fish, fox, groundhog, kangaroo, lamb, otter, panda, piglet, polar_bear, ram, sloth, squid, tadpole, badger, cougar, moose, rat, giraffe, toad, wolf, mouse1, possum, turtle, chinchilla, whale, dalmatian, elephant, zebra, antelope, cobra, kitten, koala, rattlesnake, turkey, aardvark, camel, crab, mongoose, rabbit, ant, slime"
is not edible,109,encyclopedic,function,function,FALSE,FALSE,TRUE,"ashtray, barbed_wire, baseball_bat, blindfold, blimp, bookmark, boomerang, boulder, bowling_ball, brick, broom, candelabra, candy_cane, cardboard, chalk, charcoal, cigar, cigarette_butt, cloud, coffin, cornhusk, crystal_ball, denture, doormat, doorstop, dumpster, easter_egg, electric_chair, fencepost, fire, firewood, fireworks, flyswatter, gasket, gift, gingerbread_man, goalpost, gravel, handprint, horseshoe, hot-air_balloon, hot-water_bottle, hubcap, ice-cream_cone, ice_pack, icicle, incense, javelin, jewel, lamppost, lampshade, lantern, laundry_basket, lightbulb, log, luggage, lunchbox, mailbox, mannequin, manhole, missile, mud, napkin_ring, pine_needle, pincushion, pinecone, pom-pom, pothole, power_line, punching_bag, puppet, red_carpet, rock, robot, rocking_horse, sandcastle, sarcophagus, scarecrow, scorpion, shoe_polish, shoehorn, ski_pole, slug, snowball, snowman, snowshoe, space_shuttle, spark_plug, stick, teddy_bear, toad, toy, trapdoor, trashcan, tupperware, twig, vacuum, wallet, whoopee_cushion, windsock, wooden_leg, baton4, button2, mold1, walker2, boa, flipper, globe, backscratcher"
has different sizes,108,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"abacus, television, globe, anchor, aquarium, ball, barrette, bed, belt, bra, canister, cooler, dart, diaper, dreidel, envelope, flask, football, glove, iceskate, luggage, meat_grinder, mop, pencil_sharpener, recorder, rollerblade, satellite_dish, saxophone, scoreboard, shelf, slipper, sock, stirrup, syringe, towel, trampoline, train_set, violin, washing_machine, water_bottle, water_filter, wetsuit, whisk, windshield_wiper, baton1, clipper1, stamp2, baseball, basketball, face_mask, plate, punch2, screen1, air_mattress, horn, loom, ratchet, sail, spool, sprinkler, suitcase, zipper, petri_dish, beachball, broom, parachute, blanket, first-aid_kit, mattress, ring, stamp1, candle, headset, sofa_bed, toolbox, trashcan, crate, record, boxing_gloves, hose, shears, bowl, burner, comb, computer_screen, drill, dumpster, fireworks, headphones, heater, lawnmower, life_jacket, mitten, mug, pulley, rock, sailboat, shoe, snowboard, target, tent, ukulele, umbrella, water_cooler, pipe2, stove2, bubble, bongo"
is reusable,92,function,function,function,TRUE,TRUE,TRUE,"cigarette_holder, container, contact_lens, diaper, earplug, filter, floss, hairnet, ice_pack, napkin, pacifier, paper_bag, razor_blade, shower_cap, teabag, water_bottle, straw2, bin, face_mask, skewer, bag, bubble_wrap, chopsticks, duster, lid, mask, razor, scalpel, syringe, tupperware, mold1, aluminum_foil, dishrag, flyswatter, foam, paper_plate, petri_dish, swizzle_stick, velcro, noisemaker, swab, cork, flashbulb, palette, paper, toothpick, tab, shopping_basket, can, glass, cardboard, flypaper, nail_file, bedpan, bib, dish, glove, hot-water_bottle, mop, space_shuttle, stamp2, bottle, handkerchief, lunchbox, bandage, needle, plate, toothbrush, banner, canister, rag, sponge, whiteboard, wrap, cap, safety_pin, rocket, coffee_filter, washcloth, coaster, jar, lighter, napkin_ring, gas_mask, crate, tag, place_mat, plastic_film, rubber_band, thermos, pen, sandbag"
is used for transportation,86,function,function,function,TRUE,TRUE,TRUE,"airboat, barrel, boat, cage, canister, carriage, cart, gondola, helicopter, hovercraft, motorcycle, reindeer, sled, train_car, tricycle, turbine, wagon, wheel, yak, scooter, basket, bike, blimp, bus, canoe, car, donkey, horse, hot-air_balloon, rickshaw, seaplane, skateboard, trailer, bin, trolley, bottle, box, buggy, chute, sailboat, ski_lift, taxi, tractor, truck, van, camel, llama, rollerskate, speedboat, crate, chariot, container, jet, raft, bag, sidecar, quad, ship, trunk, pallet, snowmobile, hatbox, pulley, rollerblade, unicycle, jeep, oil, pedal, school_bus, golf_cart, birdcage, limousine, minivan, station_wagon, ferry, spider_web, airplane, yoke, tank2, stroller, tank1, pole, train, subway, humvee, pony"
is disposable,85,function,function,function,TRUE,TRUE,TRUE,"battery, cigarette_holder, coffee_filter, container, contact_lens, diaper, earplug, filter, floss, hairnet, ice_pack, lighter, match, napkin, pacifier, paper_bag, paper_towel, paper_plate, pen, razor_blade, shower_cap, swizzle_stick, teabag, toilet_paper, toothpick, water_bottle, straw2, bin, face_mask, swab, bag, chopsticks, duster, lid, mask, razor, scalpel, syringe, wax_paper, flashbulb, flypaper, flyswatter, petri_dish, place_mat, wrapping_paper, noisemaker, cap, palette, skewer, bandage, marker, glass, matchbox, nail_file, bedpan, bib, glove, mop, needle, toothbrush, tab, arrow, banner, bottle, canister, torch, mold1, highlighter, sponge, wrap, mousetrap, rag, straw1, fork, gauze, rocket, washcloth, coaster, gas_mask, dishrag, paintbrush, tee, penlight, eyedropper, insole"
is functional,83,function,function,function,TRUE,TRUE,TRUE,"bench, chimney, collar, hat, nightstand, sunglasses, chest2, garter, mantle, clasp, corset, fence, grate, headdress, sword, vase, column, grille, bracelet1, doorstop, figurine, shelf, shoe, spur, arch, bookshelf, clothes, coat_rack, cufflink, eye_patch, handle, button1, rack2, patch, basket, buckle, coat, dresser, shutter, weather_vane, mask, belt, origami, porthole, towel_rack, cabinet, belt_buckle, birdcage, bonnet, coffee_table, glasses, outfit, penholder, curtain, paperweight, spout, cape, fireplace, pocket, windowsill, button2, brooch, doorknocker, knot, panties, yoke, lingerie, boot, mat, badge, bunkbed, lamp, headscarf, lamppost, armor, knob, suspenders, pin, rug, headband, stool, frame, purse"
comes in different sizes and colors,81,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"ball, hairnet, snowsuit, stapler, tarp, teddy_bear, tack, sweater, zipper, bird, hanger, hoodie, t-shirt, water_bottle, bow1, pin, bathrobe, blanket, folder, football, laundry_basket, pitcher, umbrella, pantyhose, bathmat, envelope, football_helmet, jacket, kneepad, shirt, apron, beanie, belt, binder, coat, paper, slipper, hook1, bowl, ping-pong_table, bib, filing_cabinet, velcro, boot, rubber_band, shower_cap, notebook, pillow, raincoat, towel, scooter, backpack, spider, bow3, button1, bucket, headband, matchbox, beetle, duffel_bag, moth, face_mask, fish, stroller, nightshirt, sweatsuit, pool_table, straw2, clipboard, gravel, trashcan, leash, safety_pin, suitcase, coverall, paper_bag, pants, poodle, notepad, cooler, paper_plate"
is minerals,75,encyclopedic,taxonomic,taxonomic,FALSE,FALSE,TRUE,"asparagus, chalk, diamond, gem, parsley, squash, zucchini, arugula, broccoli, chickpea, chive, green_beans, okra, pecan, rocket, avocado, beet, calamari, cauliflower, cilantro, cucumber, eggplant, emerald, leek, lettuce, mango, papaya, peach, pea, rock, ruby, scallion, tomato, pepper1, artichoke, bok_choy, celery, kale, plum, sweet_potato, cashew, rhubarb, spinach, bell_pepper, jalapeno, sprouts, cabbage, cantaloupe, coconut, maple_syrup, onion, pear, prune, radish, mussel, pumpkin, carrot, gourd, peanut, vegetable, fig, melon, yolk, apple, banana, guacamole, mustard, sauerkraut, brussels_sprouts, almond, pistachio, potato, garlic, grape, fruit"
is served cold,73,encyclopedic,taste,taste,FALSE,FALSE,TRUE,"applesauce, coffee, crepe, dessert, juice, lemonade, macaroni, mashed_potato, noodle, pudding, quiche, sandwich, sauce, tea, punch1, cereal, croissant, eggnog, omelet, pasta, soda, souffle, wrap, beer, brownie, ham, latte, meatloaf, pie, scrambled_egg, tostada, coleslaw, dip, lasagna, pastry, roll, salad, sauerkraut, sushi, casserole, flan, chili, oatmeal, spaghetti, breakfast, burrito, bun, fudge, milkshake, calzone, cheesecake, soup, guacamole, ice-cream_cone, muff, pizza, smoothie, pretzel, stew, tiramisu, spring_roll, toast, gravy, sausage, pita, chips, creme_brulee, muffin, tortilla, scone, sorbet, cocktail, taco"
has a lid,71,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"barrel, breadbox, canister, coffee_pot, jar, kettle, pillbox, thermos, honeypot, container, dumpster, hatbox, inkwell, lunchbox, pitcher, pot, sarcophagus, toilet, tupperware, bowl, coffin, cooler, eye, music_box, petri_dish, saltshaker, teapot, trashcan, urn, chest2, bin, oilcan, piano, wine_cooler, bucket, fishbowl, tank2, ballot_box, blender, box, pan, terrarium, can, trunk, cup, jug, scanner, ashtray, centrifuge, cooker, laundry_basket, mug, sandbox, shaker, spout, crate, dish, grill, grinder, flask, toolbox, basket, food_processor, spool, mailbox, teacup, water_bottle, casserole, glass, aquarium, washing_machine"
comes in different sizes and styles,69,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"backpack, baseball_glove, bookshelf, boot, bra, headphones, seatbelt, sewing_kit, ski_boots, slipper, television, towel_rack, bracelet2, leash, pants, piano, shorts, stapler, cleat, belt, pajamas, shirt, wallet, couch, sofa_bed, accordion, chair, easel, snowboard, swimsuit, blouse, jeans, saddle, jacket, shoe, blind, bracket, face_mask, iceskate, diaper, sweater, coat, tackle, hat, razor, suit, apron, dollhouse, sandal, cabinet, doorknob, bracelet1, hammock, wine_cooler, rollerskate, roof_rack, recliner, lingerie, doll, refrigerator, rim, coffin, fishnet_stockings, hearing_aid, underwear, notebook, wig, walker1, blinder"
has four legs,68,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"cat, cow, dog, fox, guinea_pig, hamster, horse, lizard, pig, pony, sawhorse, turtle, zebra, mouse1, bull, ping-pong_table, puppy, rabbit, racehorse, ram, sheep, calf1, coyote, donkey, elephant, hippopotamus, lamb, piglet, rhinoceros, toad, poodle, warthog, rocking_horse, panda, squirrel, giraffe, kitten, llama, wolf, alpaca, pool_table, alligator, bear, boar, chipmunk, deer, ferret, frog, goat, groundhog, iguana, lion, polar_bear, sloth, pallet, skunk, cot, camel, chihuahua, cougar, dalmatian, rat, yak, bison, hyena, gazelle, hedgehog, walker1"
is electrical,67,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"fuse, hairdryer, hotplate, outlet, toaster, mixer, plug, food_processor, doorbell, juicer2, icemaker, air_conditioner, blender, freezer, waffle_iron, can_opener, coffee_pot, coffeemaker, copier, curling_iron, dishwasher, drill, dryer, electric_chair, fan, fire_alarm, flashlight, flatiron, grinder, incubator, kettle, lamp, light_switch, lightbulb, meat_grinder, microwave, refrigerator, record_player, sewing_machine, shredder, soldering_iron, switch, toaster_oven, traffic_light, treadmill, vacuum, washing_machine, water_cooler, charger, iron, water_fountain, juicer1, blower, thermostat, polisher, air_pump, eggbeater, jukebox, lamppost, projector, sweeper, taillight, turntable, vending_machine, radiator, wine_cooler, stereo"
is opened and closed,66,function,function,function,TRUE,TRUE,TRUE,"box, folder, gate, locket, mouth, safety_pin, shutter, toolbox, trapdoor, umbrella, trunk, car_door, clasp, curtain, door, sunroof, blind, barrel, binder, container, drawer, hydrant, lock, padlock, trashcan, album, bin, can, clothespin, hinge, dollhouse, pocket_watch, sarcophagus, wallet, hook1, bag, lid, zipper, latch, matchbox, suitcase, chest2, book, grate, locker, manhole, closet, window, crate, refrigerator, envelope, waffle_iron, jar, porthole, spout, fire_hydrant, notebook, scissors, keyhole, pinecone, cap, laptop, terrarium, valve, cage, canister"
is sturdy,61,visual-form_and_surface,tactile,tactile,FALSE,FALSE,TRUE,"fencepost, workbench, trunk, step_stool, vase, sawhorse, telephone_pole, yak, easel, guardrail, teacup, dolly, ram, shovel, wagon, poker, ladder, tree_trunk, riser, bedpost, tugboat, crate, bookshelf, humvee, nightstand, pitchfork, wrench, goblet, chest2, scaffolding, boot, bucket, railing, stretcher, wineglass, glass, cement_mixer, bunkbed, cardboard, board, jeep, stump, box, cleaver, flagpole, rocking_horse, wooden_leg, rack2, jack, vise, filing_cabinet, tank2, handlebar, hook1, fire_hydrant, yoke, duffel_bag, tractor, crowbar, rocking_chair, table"
comes in different colors and designs,60,visual-color,visual-form_and_surface,visual-form_and_surface,FALSE,FALSE,TRUE,"beachball, frisbee, jump_rope, volleyball, yo-yo, wrapping_paper, binder, apron, sandal, shower_cap, hairpin, squirt_gun, button1, bib, dice, fountain_pen, headscarf, lunchbox, pacifier, toothpick, awning, bathmat, clothespin, hoodie, leash, napkin, potholder, underwear, visor, flipper, bathrobe, bikini, mitten, suspenders, headband, washcloth, charger, barrette, sweatsuit, pump, football_helmet, purse, t-shirt, dishrag, toothbrush, tile, shower_curtain, umbrella, rollerblade, scooter, beanie, doorstop, flip_flop, muff, dart, nightshirt, swizzle_stick, pencil_sharpener, bow1, mouse2"
is found in kitchens,60,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"counter, drain, sink, cooker, breadbox, towel_rack, burner, nutcracker, freezer, oven, plunger, refrigerator, silverware, cabinet, honeypot, blender, can_opener, corkscrew, dishwasher, dishrag, eggbeater, fork, hotplate, icemaker, kettle, knife, ladle, microwave, pot, slicer, soap, spatula, spoon, toaster_oven, towel, juicer2, stove2, mixer, juicer1, bottle_opener, faucet, pepper_mill, potholder, saltshaker, pepper2, scoop, grinder, paper_towel, strainer, whisk, stool, toaster, water_heater, stove1, cleaver, dishwashing_liquid, funnel, icepick, mug, teabag"
is natural,60,taxonomic,encyclopedic,encyclopedic,FALSE,FALSE,TRUE,"boulder, cork, cornhusk, honeycomb, log, satellite, sponge, stick, wood, maple_syrup, oil, yarn, clay, garlic, hedge, honey, juice, prune, shell3, cinnamon, nest, twig, wreath, feather, pinecone, turf, lip_balm, soap, pearl, jewel, rock, gem, beehive, clove, cocoon, compost, mustache, straw1, coal, firewood, lava, saffron, stalagmite, yolk, diamond, lumber, perfume, syrup, thorn, shell2, mulch, stump, granite, marble, mud, icicle, toothpick, gravel, makeup, peanut_butter"
has different designs,59,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"jigsaw_puzzle, mask, saucer, folder, sandcastle, skirt, slot_machine, joystick, lantern, grille, plate, quilt, grate, pacifier, rattle, anklet, bib, bookmark, can_opener, clasp, jumpsuit, ring, streetlight, button2, hairpin, bracelet1, skateboard, trophy, beachball, earring, wineglass, coaster, fishhook, underwear, nutcracker, blanket, cufflink, mug, armor, handkerchief, headscarf, potholder, face_mask, spool, tattoo, ball, mousepad, place_mat, slingshot, sofa_bed, train_set, wedding_cake, stamp2, card, patch, scarf, boot, candelabra, target"
is made of paper,57,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"cigarette_butt, coffee_filter, confetti, doily, envelope, folder, money, napkin, notepad, paper_bag, paper_towel, paper_plate, playing_card, sticker, teabag, toilet_paper, wallpaper, album, card, file2, cardboard, straw2, backdrop, bookmark, firecracker, flypaper, kite, pinwheel, wrapping_paper, banner, checkbook, comic_book, lantern, origami, noisemaker, filter, christmas_card, ribbon, target, tape, book, cigarette, lampshade, notebook, poster, sandpaper, tag, match, pennant, roll, wax_paper, stamp1, matchbox, place_mat, bow3, map, stamp2"
is square,57,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"pancake, bracket, chessboard, knob, manhole, column, plate, chimney, cookie, hatbox, home_plate, pan, button1, frame, brownie, cake, cushion, door, box, bucket, cracker, fencepost, lampshade, pie, sugar_cube, birthday_cake, lid, pizza, table, tile, coaster, paper_plate, peg, waffle, button2, bedpost, dish, jigsaw_puzzle, sandbox, drawer, sifter, mold1, doorhandle, flag, tray, ravioli, basket, cutting_board, gravestone, handkerchief, rug, tarp, strainer, potholder, shelf, paperweight, waffle_iron"
requires electricity,57,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"burner, lawnmower, flashlight, air_conditioner, flashbulb, torch, water_cooler, lightbulb, car, electric_chair, hearing_aid, icemaker, record_player, lamp, soda_fountain, megaphone, cash_register, cd_player, coffeemaker, doorbell, freezer, refrigerator, soldering_iron, television, treadmill, clipper2, radiator, scanner, dryer, fire_alarm, radio, turntable, stove2, amplifier, flatiron, lamppost, water_heater, charger, reel, tape_recorder, kettle, hairdryer, heater, hotplate, jackhammer, vacuum, vending_machine, iron, oven, smoke_alarm, toaster, chip, chandelier, copier, gramophone, jukebox, telegraph"
has a pointed end,56,visual-form_and_surface,visual-form_and_surface,tactile,TRUE,FALSE,FALSE,"fishhook, quill, spear, toothpick, anvil, peg, pickax, corkscrew, fencepost, javelin, knitting_needle, screw, nail, poker, crayon, drill, hook2, pin, skewer, icepick, hook1, pencil, pole, thimble, arrow, needle, tweezers, tee, bullet, swizzle_stick, wand, hairpin, letter_opener, tack, canoe, ice-cream_cone, spur, thumbtack, file1, acorn, drumstick, trowel, boomerang, dart, icicle, okra, pinecone, safety_pin, surfboard, baton3, jackhammer, bottle_opener, ski_pole, feather, pennant, pine_needle"
is a plant,56,taxonomic,taxonomic,taxonomic,TRUE,TRUE,TRUE,"bush, cactus, clover, fern, flower, grain, grass, grapevine, ivy, lavender, mistletoe, moss, poinsettia, spout, sunflower, tumbleweed, weed, aloe, aquarium, daisy, dandelion, licorice, poppy, rocket, bamboo, bonsai, chive, corn, garlic, mint, orchid, rhubarb, seaweed, tree, tulip, vegetable, wheat, gourd, apple_tree, christmas_tree, cilantro, hedge, pine_tree, mustard, basil, rose, chickpea, palm_tree, asparagus, pea, peanut, arugula, parsley, lettuce, marijuana, pepper1"
is narrow,56,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"canoe, diving_board, goalpost, icicle, paddle, red_carpet, shoehorn, surfboard, twig, baton2, balance_beam, garter, gondola, ribbon, rifle, baton4, headband, kayak, oar, pothole, windsock, skewer, spear, trough, chute, jalapeno, scarf, ski, periscope, snowboard, springboard, stair, stretcher, torpedo, slot, blowgun, bookshelf, strap, stick, pine_needle, arrow, locker, carrot, dresser, hearse, fencepost, spout, missile, swizzle_stick, green_beans, gutter, leaf, bobsled, highlighter, ruler, whip"
is sharp,56,tactile,tactile,tactile,TRUE,TRUE,TRUE,"machete, needle, razor_blade, scissors, sickle, splinter, thorn, trident, tab, axe, barbed_wire, icepick, knife, scalpel, sword, chain, cleaver, dagger, pine_needle, pitchfork, safety_pin, saw, shears, spear, spur, stake, toothpick, hook2, pin, gravel, icicle, pocketknife, quill, scraper, dart, hatchet, nail_clippers, pickax, razor, thumbtack, clipper1, fishhook, peeler, tooth, iceskate, staple, letter_opener, guillotine, skewer, tack, slicer, clipper2, fork, rock, tackle, hoe"
is an instrument,55,taxonomic,taxonomic,taxonomic,TRUE,TRUE,TRUE,"bagpipe, banjo, bassoon, binoculars, cello, clarinet, cymbal, flute, french_horn, gong, guitar, harmonica, harp, kazoo, mandolin, microscope, piano, saxophone, scalpel, seismograph, speedometer, stethoscope, telescope, trombone, tuba, trumpet, ukulele, violin, whistle, xylophone, bongo, drumstick, tambourine, windsock, accordion, bell, drum, horn, recorder, shaker, tuning_fork, washboard, baton1, keyboard, baton3, gauge, metronome, music_box, abacus, periscope, kaleidoscope, odometer, syringe, centrifuge, organ"
is made from various materials,55,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"blowgun, coat_rack, coat, counter, headdress, jumpsuit, net, paint, powder, rag, scarf, slime, suit, bonnet, knot, magnet, overalls, red_carpet, rug, thread, cape, garter, mulch, boxer_shorts, ink, jewel, loincloth, veil, sandal, slingshot, turban, bracelet1, costume, hood, pantsuit, cardigan, earring, necklace, pants, bomb, clothes, tapestry, pennant, shirt, blind, anklet, box, cloak, fountain_pen, machete, outfit, underwear, vest, wreath, patch"
is rich in vitamins,55,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"parsley, chive, green_beans, okra, avocado, cilantro, cucumber, mango, papaya, peach, tomato, pepper1, pecan, plum, jalapeno, cabbage, cantaloupe, coconut, kale, mulberry, pear, radish, lettuce, pumpkin, bell_pepper, carrot, celery, raspberry, rhubarb, spinach, gourd, asparagus, cashew, peanut, fig, zucchini, broccoli, arugula, yolk, eggplant, guacamole, prune, cauliflower, sauerkraut, beet, berry, vegetable, almond, potato, squash, sweet_potato, apple, brussels_sprouts, garlic, sprouts"
is crunchy,53,tactile,taste,tactile,FALSE,TRUE,FALSE,"bell_pepper, bok_choy, breadstick, carrot, celery, coleslaw, crouton, crumb, cucumber, dessert, granola, green_beans, ice-cream_cone, lettuce, macadamia, nacho, peanut_butter, peppermint, pickle, pretzel, radish, seaweed, snack, spout, tostada, pepper1, apple, candy, cookie, gingerbread_man, lollipop, biscuit, candy_bar, candy_cane, cracker, pistachio, popcorn, salad, scallion, sprouts, wafer, cabbage, caramel, taco, cereal, toast, almond, peanut, pecan, chips, roll, cashew, leek"
